origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Mezőhegyes	Hungary	46.315	20.817777777778	5339	Túrkeve	47.1	20.75	8678		Hungary	87	EU
Komárom	Hungary	47.735833333333	18.156388888889	18957	Lieto	60.5	22.449719444444	19263		Finland	1446	EU
Szikszó	Hungary	48.195	20.946111111111	5410	Dro, Trentino	45.966666666667	10.916666666667			Italy	798	EU
Törökbálint	Hungary	47.435555555556	18.915555555556	13207	Bük	47.386388888889	16.749444444444	3544		Hungary	163	EU
Zalaegerszeg	Hungary	46.839166666667	16.851111111111	58959	Varkaus	62.316666666667	27.883333333333	21638		Finland	1856	EU
Kőszeg	Hungary	47.381666666667	16.551944444444	11702	Holstebro	56.366666666667	8.6166666666667	35392		Denmark	1136	EU
Baja	Hungary	46.183333333333	18.953611111111	35718	Hódmezővásárhely	46.430277777778	20.318888888889	44795		Hungary	108	EU
Hódmezővásárhely	Hungary	46.430277777778	20.318888888889	44795	Baja	46.183333333333	18.953611111111	35718		Hungary	108	EU
Hidasnémeti	Hungary	48.499469444444	21.229	1165	Hidas	46.2564	18.491788888889	2046		Hungary	323	EU
Túrkeve	Hungary	47.1	20.75	8678	Mezőhegyes	46.315	20.817777777778	5339		Hungary	87	EU
Sárospatak	Hungary	48.318888888889	21.566111111111	12256	Nokia	61.477777777778	23.509722222222	33162		Finland	1468	EU
Kőszeg	Hungary	47.381666666667	16.551944444444	11702	Niederanven	49.651388888889	6.2555555555556	5737		Luxembourg	798	EU
Szombathely	Hungary	47.233333333333	16.633333333333	77866	Lappeenranta	61.058333333333	28.186111111111	72875		Finland	1706	EU
Boldog	Hungary	47.60305556	19.68805556	2937	Kokkola	63.833333333333	23.133333333333	47570		Finland	1817	EU
Miskolc	Hungary	48.1044444	20.7897222	159554	Tampere	61.498055555556	23.760833333333	225118		Finland	1501	EU
Baja	Hungary	46.183333333333	18.953611111111	35718	Thisted	56.9539	8.6903			Denmark	1389	EU
Gödöllő	Hungary	47.6	19.366666666667	32720	Hillerød	55.933333333333	12.3			Denmark	1045	EU
