origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Odorheiu Secuiesc	Romania	46.313888888889	25.301666666667	34257	Barcs	45.96	17.46	10858		Hungary	605	EU
Jolotca	Romania	46.864028	25.527881	616	Zsombó	46.333333333333	19.983333333333	3353		Hungary	428	EU
Ciumani	Romania	46.628322	25.466016	4328	Heves	47.6	20.283333333333	10695		Hungary	407	EU
Șimleu Silvaniei	Romania	47.23	22.8	14436	Szarvas	46.85	20.6	16275		Hungary	172	EU
Băile Tușnad	Romania	46.142576	25.85559	1641	18th district of Budapest	47.43333333	19.16666667	101613		Hungary	529	EU
Deta	Romania	45.4	21.22	6260	Bordány	46.316666666667	19.916666666667	3281		Hungary	143	EU
Toplița	Romania	46.9918309	25.3708558	13929	Budapest XV. District	47.5589	19.1193	80327		Hungary	476	EU
Șimleu Silvaniei	Romania	47.23	22.8	14436	Nyírbátor	47.835277777778	22.13	12259		Hungary	84	EU
Lipova	Romania	46.091666666667	21.691666666667	10313	Battonya	46.283333333333	21.016666666667	5960		Hungary	56	EU
Pecica	Romania	46.17	21.07	12762	Woluwe-Saint-Pierre	50.833333333333	4.4666666666667			Belgium	1325	EU
Petroșani	Romania	45.412222222222	23.373333333333	37160	Várpalota	47.197222222222	18.139444444444	19918		Hungary	448	EU
Valea lui Mihai	Romania	47.52	22.13	9902	Budapest XVI. District	47.5183	19.1714	72904		Hungary	222	EU
Jimbolia	Romania	45.791666666667	20.722222222222	10808	Pusztamérges	46.333333333333	19.683333333333	1124		Hungary	100	EU
Ciumani	Romania	46.628322	25.466016	4328	Ráckeve	47.160833333333	18.945555555556	9960		Hungary	499	EU
Joseni	Romania	46.705003	25.359864	5536	Türje	46.981944444444	17.105277777778	1546		Hungary	628	EU
Carastelec	Romania	47.304904	22.684993	1089	Káloz	46.957280555556	18.48475	2370		Hungary	320	EU
Miercurea Ciuc	Romania	46.359444444444	25.803888888889	38966	Budakeszi	47.511111111111	18.93	13863		Hungary	537	EU
Bățanii Mari	Romania	46.088602	25.698542	1920	Okány	46.9	21.35	2563		Hungary	345	EU
Aiud	Romania	46.310277777778	23.716666666667	22876	Gyomaendrőd	46.936111111111	20.823333333333	13295		Hungary	232	EU
Miercurea Nirajului	Romania	46.53	24.8	5554	Örkény	47.127222222222	19.427777777778	4810		Hungary	414	EU
Baraolt	Romania	46.075	25.6	8672	Szarvas	46.85	20.6	16275		Hungary	392	EU
Sânmartin	Romania	46.265681	25.937501	1171	Isaszeg	47.533333333333	19.4	11250		Hungary	516	EU
Cristuru Secuiesc	Romania	46.291666666667	25.035277777778	9650	Kalocsa	46.533333333333	18.985555555556	16136		Hungary	464	EU
Marghita	Romania	47.35	22.333333333333	15770	Konyár	47.316666666667	21.666666666667	2183		Hungary	50	EU
